type,pid,tid,splits,missing,overlaps,sequence_diff
old_vs_fixed,p59,t1,0.0027223230490018148,0.0018148820326678765,0.9954627949183303,0.8570780399274047
old_vs_fixed,p102,t3,0.004048582995951417,0.004048582995951417,0.9919028340080972,0.857429718875502
old_vs_fixed,p71,t1,0.022792022792022793,0.002849002849002849,0.9743589743589743,0.8585434173669467
old_vs_fixed,p80,t2,0.011244377811094454,0.0,0.9887556221889056,0.8585672082717873
old_vs_fixed,p17,t2,0.011695906432748537,0.0,0.9883040935672515,0.859073359073359
old_vs_fixed,p99,t4,0.010796221322537112,0.0,0.9892037786774629,0.8591644204851752
old_vs_fixed,p83,t2,0.004273504273504274,0.0,0.9957264957264957,0.8595744680851064
old_vs_fixed,p99,t3,0.02,0.0,0.98,0.86
old_vs_fixed,p97,t2,0.010309278350515464,0.0,0.9896907216494846,0.8622448979591837
old_vs_fixed,p99,t1,0.0035211267605633804,0.0,0.9964788732394366,0.8631578947368421
old_vs_fixed,p87,t4,0.0,0.0,1.0,0.8666666666666667
old_vs_fixed,p71,t3,0.011577424023154847,0.0,0.9884225759768451,0.8686440677966102
old_vs_fixed,p90,t3,0.012195121951219513,0.0040650406504065045,0.983739837398374,0.8694779116465864
old_vs_fixed,p93,t1,0.010344827586206896,0.0,0.9896551724137931,0.8703071672354948
old_vs_fixed,p23,t3,0.0013315579227696406,0.0039946737683089215,0.9946737683089214,0.8708388814913449
old_vs_fixed,p18,t4,0.0037174721189591076,0.0,0.9962825278810409,0.8714462299134734
old_vs_fixed,p40,t3,0.015046296296296295,0.0,0.9849537037037037,0.871606334841629
old_vs_fixed,p39_test,t2,0.0,0.0,1.0,0.8721804511278195
old_vs_fixed,p82,t3,0.0012626262626262627,0.0012626262626262627,0.9974747474747475,0.8731060606060606
old_vs_fixed,p15,t1,0.0013831258644536654,0.0,0.9986168741355463,0.8746546961325967
old_vs_fixed,p23,t1,0.007475083056478406,0.0,0.9925249169435216,0.8751033912324235
old_vs_fixed,p41,t3,0.028037383177570093,0.004672897196261682,0.9672897196261683,0.8758700696055685
old_vs_fixed,p18,t1,0.0034482758620689655,0.0,0.996551724137931,0.8760757314974182
old_vs_fixed,p15,t2,0.0026246719160104987,0.0026246719160104987,0.994750656167979,0.8772965879265092
